name,year founded
"
                ASIO BUSINESS SERVICES
              ","
            2021
          ,
            Non renseigné
          ,
            < 20
          ,
            La Garenne-Colombes, Île-de-France
          ,
            ESN
          "
"
                Daweiro
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Paris, France
          ,
            Cabinet de conseil
          "
"
                All Over Cloud
              ","
            2021
          ,
            Non renseigné
          ,
            < 20
          ,
            Wambrechies, Hauts-de-France
          ,
            ESN
          "
"
                CELAD
              ","
            1990
          ,
            Non renseigné
          ,
            > 1 000
          ,
            Balma, Occitanie
          ,
            ESN
          "
"
                mbh-consulting
              ","
            2022
          ,
            Non renseigné
          ,
            < 20
          ,
            Boulogne-Billancourt, Île-de-France
          ,
            Cabinet de conseil
          "
"
                Mindcross
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Paris, France
          ,
            ESN
          "
,
"
                AXIANS
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            > 1 000
          ,
            La Garenne-Colombes, Île-de-France
          ,
            ESN
          "
"
                ABIL-IT
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Neuilly-sur-Seine, Île-de-France
          ,
            ESN
          "
"
                IT-4B CONSULTING
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Neuilly-sur-Seine, Île-de-France
          ,
            ESN
          "
,
"
                IROSOFT
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Paris, France
          ,
            ESN
          "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"
                Augusta Reeves Group
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            100 - 249
          ,
            Paris, France
          ,
            ESN
          "
,
,
,
,
,
"
                Exiptel
              ","
            2006
          ,
            Non renseigné
          ,
            < 20
          ,
            Neuilly-sur-Seine, Île-de-France
          ,
            ESN
          "
"
                BK SEARCH SARL
              ","
            2014
          ,
            Non renseigné
          ,
            < 20
          ,
            Plan-les-Ouates, Genève, Suisse
          ,
            Cabinet de recrutement / placement
          "
"
                AUSY
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            > 1 000
          ,
            Sèvres, Île-de-France
          ,
            ESN
          "
"
                Shiftera
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Conflans-Sainte-Honorine, Île-de-France
          ,
            Cabinet de conseil
          "
"
                Alies Conseil
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            20 - 99
          ,
            Paris, France
          ,
            ESN
          "
"
                PLATEFORM SAS
              ","
            2016
          ,
            Non renseigné
          ,
            20 - 99
          ,
            Paris, France
          ,
            Editeur de logiciels
          "
"
                MANAVA LTD
              ","
            Non renseigné
          ,
            Non renseigné
          ,
            < 20
          ,
            Non renseigné
          ,
            ESN
          "
,
,
,
